Office,Agent,Address,Price
,,,
"<span class=""office"">Douglas Elliman of California</span>","<span class=""agent"">Frances Carr</span>","<h4>135 Crescent Bay Drive, Laguna Beach</h4>","<span>$8,988,000</span>"
"<span class=""office"">Pacific Sotheby’s International Realty</span>","<span class=""agent"">Richard Dewey</span>","<h4>31402 Ceanothus Drive, Laguna Beach</h4>","<span>$8,650,000</span>"
"<span class=""office"">Professional Realty Services</span>","<span class=""agent"">Mark Johnson</span>","<h4>676 Vista Lane, Laguna Beach</h4>","<span>$8,400,000</span>"
"<span class=""office"">Pacific Sotheby’s International Realty</span>","<span class=""agent"">Spencer Wall</span>","<h4>747 Bayview Place, Laguna Beach</h4>","<span>$8,250,000</span>"
"<span class=""office"">Revel Real Estate</span>","<span class=""agent"">Lolita Bagramyan</span>","<h4>2135 Hillview Drive, Laguna Beach</h4>","<span>$8,250,000</span>"
"<span class=""office"">Berkshire Hathaway Homeservice</span>","<span class=""agent"">Mark Simon</span>","<h4>1241 1243 Ocean Front, Laguna Beach</h4>","<span>$7,880,000</span>"
"<span class=""office"">Coldwell Banker Realty</span>","<span class=""agent"">Leo Goldschwartz</span>","<h4>2329 Crestview Drive, Laguna Beach</h4>","<span>$7,498,000</span>"
"<span class=""office"">The Oppenheim Group</span>","<span class=""agent"">Brian Furstenfeld</span>","<h4>1712 Thurston Drive, Laguna Beach</h4>","<span>$7,495,000</span>"
"<span class=""office"">Pacific Sotheby’s International Realty</span>","<span class=""agent"">Sommer Killian</span>","<h4>411 Emerald Bay, Laguna Beach</h4>","<span>$7,495,000</span>"
"<span class=""office"">Coldwell Banker Realty</span>","<span class=""agent"">Tim Smith</span>","<h4>819 Emerald Bay, Laguna Beach</h4>","<span>$7,495,000</span>"
"<span class=""office"">Compass</span>","<span class=""agent"">Harold Noriega</span>","<h4>521 Emerald Bay, Laguna Beach</h4>","<span>$7,395,000</span>"
"<span class=""office"">Pacific Sotheby's Int'l Realty</span>","<span class=""agent"">Collin Meyer</span>","<h4>2510 Glenneyre Street, Laguna Beach</h4>","<span>$6,998,000</span>"
"<span class=""office"">VILLA REAL ESTATE</span>","<span class=""agent"">Christopher Sirianni</span>","<h4>31955 Coast, Laguna Beach</h4>","<span>$6,995,000</span>"
"<span class=""office"">Coldwell Banker Realty</span>","<span class=""agent"">Leo Goldschwartz</span>","<h4>802 Rembrandt Drive, Laguna Beach</h4>","<span>$6,498,000</span>"
"<span class=""office"">Pacific Sotheby's Int'l Realty</span>","<span class=""agent"">Cotter Tillemans</span>","<h4>2190 Temple Hills Drive, Laguna Beach</h4>","<span>$6,490,000</span>"
"<span class=""office"">Coldwell Banker Realty</span>","<span class=""agent"">William Rolfing</span>","<h4>28782 Top Of The World Drive, Laguna Beach</h4>","<span>$5,995,000</span>"
"<span class=""office"">Surterre Properties</span>","<span class=""agent"">Richard Mcintire</span>","<h4>415 Ledroit Street, Laguna Beach</h4>","<span>$5,875,000</span>"
"<span class=""office"">Real Broker</span>","<span class=""agent"">Karim Wahba</span>","<h4>740 Bolsana Drive, Laguna Beach</h4>","<span>$5,800,000</span>"
"<span class=""office"">ShopProp Inc</span>","<span class=""agent"">Robert Luecke</span>","<h4>405 Blumont Street, Laguna Beach</h4>","<span>$5,688,888</span>"
"<span class=""office"">Opus Real Estate, Inc.</span>","<span class=""agent"">Albert Rogers</span>","<h4>31678 Seacliff Drive, Laguna Beach</h4>","<span>$5,688,000</span>"
"<span class=""office"">Surterre Properties</span>","<span class=""agent"">Victoria Strombom</span>","<h4>31431 Alta Loma Drive, Laguna Beach</h4>","<span>$5,295,000</span>"
"<span class=""office"">Pacific Sotheby’s International Realty</span>","<span class=""agent"">Donna Pfanner</span>","<h4>30 N Portola, Laguna Beach</h4>","<span>$4,995,000</span>"
"<span class=""office"">Laguna Gallery Real Estate</span>","<span class=""agent"">Boyd Roberts</span>","<h4>3 Lagunita Drive, Laguna Beach</h4>","<span>$4,950,000</span>"
"<span class=""office"">Laguna Coast Real Estate</span>","<span class=""agent"">Cynthia Ayers</span>","<h4>183 Dumond Drive, Laguna Beach</h4>","<span>$4,950,000</span>"
,,,
,,,
,,,
,,,
,,,
,,,"<span class=""uk-hidden-small""> Facebook</span>"
